"fielding.start","fielding.end","mid_date","pollster","sample","what","y"
2013-12-15,2013-12-15,2013-12-15,"ReachTEL",3544,"LNP",41.4
2014-01-04,2014-01-12,2014-01-08,"Morgan MM",2527,"LNP",39
2014-01-10,2014-01-13,2014-01-11,"Essential",1161.6,"LNP",44.72049689
2014-01-17,2014-01-20,2014-01-18,"Essential",1062.6,"LNP",41.56626506
2014-01-18,2014-01-26,2014-01-22,"Morgan MM",3019,"LNP",39.5
2014-01-23,2014-01-23,2014-01-23,"ReachTEL",3547,"LNP",39.8
2014-01-24,2014-01-27,2014-01-25,"Essential",1030.7,"LNP",43.22305229
2014-01-31,2014-02-03,2014-02-01,"Essential",1042.8,"LNP",42.82700422
2014-02-01,2014-02-09,2014-02-05,"Morgan MM",2709,"LNP",40.5
2014-02-07,2014-02-09,2014-02-08,"Newspoll",1152,"LNP",41
2014-02-07,2014-02-10,2014-02-08,"Essential",1015.3,"LNP",42.68689057
2014-02-13,2014-02-15,2014-02-14,"Nielsen",1400,"LNP",44
2014-02-14,2014-02-17,2014-02-15,"Essential",1009.8,"LNP",39.54248366
2014-02-15,2014-02-23,2014-02-19,"Morgan MM",3000,"LNP",41
2014-02-21,2014-02-23,2014-02-22,"Newspoll",1150,"LNP",39
2014-02-21,2014-02-24,2014-02-22,"Essential",1021.9,"LNP",43.70290635
2014-02-27,2014-02-27,2014-02-27,"ReachTEL",3666,"LNP",40.3
2014-02-28,2014-03-03,2014-03-01,"Essential",1004.3,"LNP",43.483023
2014-03-01,2014-03-09,2014-03-05,"Morgan MM",2903,"LNP",39.5
2014-03-07,2014-03-09,2014-03-08,"Newspoll",1136,"LNP",41
2014-03-07,2014-03-10,2014-03-08,"Essential",1041.7,"LNP",41.18268215
2014-03-13,2014-03-15,2014-03-14,"Nielsen",1400,"LNP",44
2014-03-14,2014-03-17,2014-03-15,"Essential",1061.5,"LNP",45.59585492
2014-03-15,2014-03-23,2014-03-19,"Morgan MM",2909,"LNP",38
2014-03-21,2014-03-23,2014-03-22,"Newspoll",1149,"LNP",40
2014-03-21,2014-03-24,2014-03-22,"Essential",998.8,"LNP",42.40088106
2014-03-27,2014-03-27,2014-03-27,"ReachTEL",3390,"LNP",40.7
2014-03-28,2014-03-30,2014-03-29,"Newspoll (online & robo)",998,"LNP",43
2014-03-28,2014-03-31,2014-03-29,"Essential",1053.8,"LNP",41.60583942
2014-03-29,2014-04-06,2014-04-02,"Morgan MM",2869,"LNP",38.5
2014-04-04,2014-04-06,2014-04-05,"Newspoll",1131,"LNP",43
2014-04-04,2014-04-07,2014-04-05,"Essential",1054.9,"LNP",42.544317
2014-04-10,2014-04-12,2014-04-11,"Nielsen",1400,"LNP",40
2014-04-11,2014-04-14,2014-04-12,"Essential",1020.8,"LNP",42.24137931
2014-04-12,2014-04-20,2014-04-16,"Morgan MM",2955,"LNP",38.5
